LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM
"Arncliffe Station",220520,-33.93645619,151.1472995,10101333,"02 9563 7431","Firth St, Arncliffe NSW 2205","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Artarmon Station",206410,-33.80890264,151.1852939,10101116,"02 9379 1140","Hampden Rd, Artarmon NSW 2064","Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Taxi",6.30-10am,3.00-7pm,True
"Ashfield Station",213110,-33.88755061,151.1255042,10101209,"02 9752 8356","Brown St, Ashfield NSW 2131","Commuter car park | Transport Park&Ride | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Bike shed | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Asquith Station",207730,-33.68876996,151.1080252,10101128,"02 9847 8495","Haldane St, Asquith NSW 2077","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Toilets | Emergency help point | Payphone | Free WiFi hotspot | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles",Train,6.30-10am,3.00-7pm,True
"Attunga Coach Stop",23451,-30.92869,150.845836,10150244,,"Fossickers Way at Ridge St, Attunga NSW 2345",,,Coach,,,False
"Auburn Station",214410,-33.8492696,151.032867,10101219,"02 9848 9206","Rawson St, Auburn NSW 2144","Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Austinmer Station",251540,-34.30641046,150.9293128,10101363,"02 4223 5573","Railway Ave, Austinmer NSW 2515","Commuter car park | Wheelchair accessible car space | Toilets | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles","Train, Bus",6.00-10am,3.00-7pm,True
"Awaba Station",228310,-33.0129204,151.5416347,10101150,"02 4349 9241","Adelaide St, Awaba NSW 2283","Commuter car park | Emergency help point | Information point | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs","Train, Bus",6.00-10am,3.00-7pm,True
"Ballina Coach Stop",24782,-28.86933,153.560592,10150141,,"Tamar St before Moon St, Ballina NSW 2478",,,"Bus, Coach",,,False
"Ballina West Coach Stop",24781,-28.864101,153.533926,10150143,,"West Tower Tavern, River St, West Ballina NSW 2478",,,"Coach, Bus",,,False
"Balmain East Wharf",20414,-33.85696725,151.1959756,10102010,,"Darling St, Balmain East NSW 2041","Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles | Stairs","Bus, Ferry",,,False
"Balmain Wharf",204157,-33.85471605,151.1863604,10102008,,"Thames St, Balmain NSW 2041","Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles",Ferry,,,False
"Balranald Coach Stop",27151,-34.640572,143.564637,10150298,,"Balranald Information Centre, Market St, Balranald NSW 2715",,,Coach,,,False
"Bangalow Coach Stop",24791,-28.686545,153.5248,10150239,,"Station St at Byron St, Bangalow NSW 2479",,,Coach,,,False
"Banksia Station",221610,-33.94528645,151.1404316,10101334,"02 9563 7429","Hattersley St, Banksia NSW 2216","Wheelchair accessible car space | Taxi rank | Bike racks | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Bankstown Station",220010,-33.91786454,151.0346869,10101401,"02 9563 7160","North Tce, Bankstown NSW 2200","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Baradine Coach Stop",23961,-30.949333,149.066505,10150325,,"Wellington St at Darling St, Baradine NSW 2396",,,Coach,,,False
"Barangaroo Wharf",2000441,-33.864377,151.200591,10102039,,"Wulugul Walk, Barangaroo NSW 2000","Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles",Ferry,,,False
"Bardwell Park Station",220710,-33.93161666,151.1248574,10101410,"02 9563 7428","Hartill-Law Ave, Bardwell Park NSW 2207","Commuter car park | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Stairs","Train, Bus",6.30-10am,3.00-7pm,False
"Barellan Coach Stop",26655,-34.284782,146.572035,10150174,,"Burley Griffin Way before Myall St, Barellan NSW 2665",,,Coach,,,False
"Bargo Station",257420,-34.29136493,150.5802091,10101303,"02 4684 1320","Hume Hwy, Bargo NSW 2574","Commuter car park | Wheelchair accessible car space | Bike racks | Toilets | Emergency help point | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements","Train, Bus",6.00-10am,3.00-7pm,True
"Barmedman Coach Stop",26681,-34.143373,147.386609,10150247,,"Queen St after Star St, Barmedman NSW 2668",,,Coach,,,False
"Barooga Coach Stop",36441,-35.91225,145.69018,10150296,,"Vermont St at McFarland St, Barooga NSW 3644",,,Coach,,,False
"Barraba Coach Stop",23472,-30.380272,150.609609,10150015,,"Alice St before Queen St, Barraba NSW 2347",,,Coach,,,False
"Bathurst Station",279538,-33.42562703,149.5832161,10101281,"13 22 32","Havannah St, Bathurst NSW 2795","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements","Train, Regional coach, Bus, Taxi",6.00-10am,3.00-7pm,True
"Batlow Coach Stop",27301,-35.520277,148.14722,10150240,,"Memorial Ave at Pioneer St, Batlow NSW 2730",,,Coach,,,False
"Beckom Coach Stop",26652,-34.331341,146.958477,10150171,,"Service Station, Newell Hwy, Beckom NSW 2665",,,Coach,,,False
"Beecroft Station",211910,-33.74995417,151.0662982,10101197,"02 9847 8421","Wongala Cres, Beecroft NSW 2119","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Beenleigh Coach Stop",42071,-27.717673,153.204518,10150020,,"Beenleigh Station, Coach Terminal, Alamein St, Beenleigh QLD 4207",,,Coach,,,False
"Bega Coach Stop",25503,-36.673857,149.842188,10150291,,"Church St at Carp St, Bega NSW 2550",,,"Bus, Coach",,,False
"Belbora Coach Stop",24227,-32.012693,152.178504,10150182,,"2767 The Bucketts Way, Belbora NSW 2422",,,Coach,,,False
"Belconnen Interchange",26176,-35.23976,149.06966,10155887,,"Cohen st, Belconnen ACT 2617",,,"Bus, Coach",,,False
"Bell Station",278620,-33.50568554,150.2788861,10101272,"02 4787 8452","Bells Line of Road, Bell NSW 2786","Emergency help point | Information point | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Level crossing | Stairs",Train,6.00-10am,3.00-7pm,True
"Bella Vista Station",2153478,-33.730592,150.944024,10104005,,"Mawson Ave, Bella Vista NSW 2153","Bike shed | Bike racks | Commuter car park | Kiss and ride stopping area | Taxi rank | Opal card top up or single trip ticket machine (Cash or Card Payment) | Toilets | Wheelchair accessible toilet | Emergency help point | Payphone","This location is Independent Access | Lift | Escalator | Hearing loop | Wheelchair ramp boarding assistance | Platform edge tactiles | PA system for announcements","Metro, Bus, Taxi",6.30-10am,3.00-7pm,False
"Bellambi Station",251810,-34.36331842,150.9099025,10101367,"02 4223 5579","Bellambi Lane, Bellambi NSW 2518","Commuter car park | Wheelchair accessible car space | Toilets | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Bellata Coach Stop (northbound)",23972,-29.917328,149.791068,10155373,,"Railway Pde opp Wilga St, Bellata NSW 2397",,,Coach,,,False
"Bellata Coach Stop (southbound)",239712,-29.91767,149.791308,10155770,,"Railway Pde after Wilga St, Bellata NSW 2397",,,Coach,,,False
"Bellata Station",23971,-29.9183,149.7905,10155045,"13 22 32","Newell Hwy, Bellata NSW 2397",,"This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements",Train,,,False
"Belmore Station",219210,-33.91721798,151.0887332,10101397,"02 9563 7578","Burwood Rd, Belmore NSW 2192","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Bemboka Coach Stop",25501,-36.627333,149.568778,10150295,,"General Store, Snowy Mountains Hwy, Bemboka NSW 2550",,,Coach,,,False
"Ben Bullen Coach Stop",2790133,-33.218809,150.021411,10150041,,"Castlereagh Hwy after Quarry Rd, Ben Bullen NSW 2790",,,Coach,,,False
"Bendemeer Coach Stop",23551,-30.883473,151.1548,10156850,,"Caroline St after Henry St, Bendemeer NSW 2355",,"This location is Not Accessible |","Bus, Coach",,,False
"Bendick Murrell Coach Stop",28031,-34.159821,148.445796,10150059,,"Main St after Ewens St, Bendick Murrell NSW 2803",,,Coach,,,False
"Berala Station",214120,-33.87183567,151.0324418,10101390,"02 9752 8813","Woodburn Rd, Berala NSW 2141","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Beresfield Station",232230,-32.79894599,151.6578627,10101172,"02 4962 9944","Addison St, Beresfield NSW 2322","Commuter car park | Wheelchair accessible car space | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Berowra Station",208110,-33.6236572,151.1529711,10101131,"02 9847 8496","Pacific Hwy, Berowra NSW 2081","Commuter car park | Wheelchair accessible car space | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Free WiFi hotspot | Departure indicator screen","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.30-10am,3.00-7pm,True
"Berridale Coach Stop (northbound)",26282,-36.365118,148.82788,10161931,,"Berridale Inn, Jindabyne Rd, Berridale NSW 2628",,,Coach,,,False
"Berridale Coach Stop (southbound)",26281,-36.365863,148.827031,10161932,,"Berridale Lions Park, Jindabyne Rd, Berridale NSW 2628",,,Coach,,,False
"Berrigan Coach Stop",27121,-35.658002,145.812199,10150144,,"Jerilderie St after Carter St, Berrigan NSW 2712",,,Coach,,,False
"Berry Station",253510,-34.78033267,150.6969659,10101388,"02 4464 1022","Station Rd, Berry NSW 2535","Commuter car park | Wheelchair accessible car space | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Beverly Hills Station",220910,-33.94884857,151.0816922,10101413,"02 9563 7650","Morgan St, Beverly Hills NSW 2209","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Bexhill Coach Stop",24801,-28.76554,153.34515,10150131,,"Bexhill School, Banglow Rd, Bexhill NSW 2480",,,Coach,,,False
"Bexley North Station",220720,-33.93756601,151.1133973,10101411,"02 9563 7613","Kingsgrove Ave, Bexley North NSW 2207","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.30-10am,3.00-7pm,False
"Bibbenluke Coach Stop",26321,-36.811109,149.280902,10150053,,"Monaro Hwy opp Bukalong Siding Rd, Bibbenluke NSW 2632",,,Coach,,,False
"Billinudgel Coach Stop",24831,-28.505065,153.528385,10150341,,"Bonanza Dr opp Lucky Lane, Billinudgel NSW 2483",,,Coach,,,False
"Binalong Coach Stop (northbound)",25842,-34.672661,148.629146,10150279,,"Stephens St before Monteagle St, Binalong NSW 2584",,,Coach,,,False
"Binalong Coach Stop (southbound)",25841,-34.67597,148.634203,10150281,,"Stephens St before Twynam St, Binalong NSW 2584",,,Coach,,,False
"Bingara Coach Stop (northbound)",240421,-29.868516,150.572172,10150275,,"Cunningham St at Maitland St, Bingara NSW 2404",,,Coach,,,False
"Bingara Coach Stop (southbound)",240422,-29.869512,150.572223,10150006,,"Maitland St after Cunningham St, Bingara NSW 2404",,,Coach,,,False
"Biniguy Coach Stop",23991,-29.536002,150.20611,10150356,,"Gwydir Hwy at Biniguy Ave, Biniguy NSW 2399",,,Coach,,,False
"Binna Burra Coach Stop",24792,-28.706562,153.497345,10150235,,"Bangalow Rd before Friday Hut Rd, Binna Burra NSW 2479",,,Coach,,,False
"Binnaway Coach Stop",23951,-31.55185,149.378649,10150219,,"Binnaway Post Office, Bullinda St, Binnaway NSW 2395",,,Coach,,,False
"Binya Coach Stop",26653,-34.229159,146.344388,10162150,,"Binya Post Office, Francis St, Binya NSW 2665",,,Coach,,,False
"Birchgrove Wharf",204156,-33.84645581,151.1863405,10102007,,"Louisa Rd, Birchgrove NSW 2041","Kiss and ride stopping area | Emergency help point | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles | Stairs",Ferry,,,False
"Birrong Station",214320,-33.8932786,151.0240413,10101403,"02 9379 7727","Rodd St, Birrong NSW 2143","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Toilets | Wheelchair accessible toilet | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Baby change table | Bike racks","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Hearing loop",Train,6.30-10am,3.00-7pm,False
"Blackheath Station",278510,-33.63288104,150.284345,10101270,"02 4780 3992","Railway Pde, Blackheath NSW 2785","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike lockers | Toilets | Wheelchair accessible toilet | Emergency help point | Payphone | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing | Stairs","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Blacktown Station",214810,-33.76822903,150.9075105,10101235,"02 9851 7212","Main St, Blacktown NSW 2148","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Bike shed | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Blackwattle Bay Wharf",203783,-33.871362,151.185199,10102058,,"Leichhardt St, Glebe NSW 2037",,"This location is Not Accessible |",Ferry,,,False
"Blaxland Station",277410,-33.74357659,150.6095957,10101256,"02 4739 1620","Station St, Blaxland NSW 2774","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Blayney Station",27991,-33.52704,149.254516,10155031,"13 22 32","Railway Lane, Blayney NSW 2799","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | Hearing loop (ticket counter) | PA system for announcements | Platform edge tactiles | Stairs",Train,,,False
"Blighty Coach Stop",27132,-35.591983,145.287219,10150199,,"Blighty Pub, Riverina Hwy, Blighty NSW 2713",,,Coach,,,False
"Bogan Gate Coach Stop",28761,-33.107693,147.803932,10150229,,"General Store, Station St, Bogan Gate NSW 2876",,,Coach,,,False
"Bogangar Coach Stop",24881,-28.332352,153.5697,10150121,,"Tweed Coast Rd opp Pandanus Pde, Bogangar NSW 2488",,,Coach,,,False
"Boggabri Station",23821,-30.703834,150.039827,10155054,"13 22 32","Oakham St, Boggabri NSW 2382","Commuter car park | Toilets | Information point","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements",Train,,,False
"Bolivia Coach Stop",23722,-29.289661,151.960969,10150025,,"New England Hwy opp Mt Spirabo Rd, Bolivia NSW 2372",,,Coach,,,False
"Bomaderry Station",254110,-34.85377666,150.6098088,10101389,"02 4423 0141","Meroo St, Bomaderry NSW 2541","Commuter car park | Wheelchair accessible car space | Taxi rank | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Bombala Coach Stop",26322,-36.911161,149.240322,10150052,,"Forbes St at Maybe St, Bombala NSW 2632",,,Coach,,,False
"Bombo Station",253320,-34.6580285,150.8539755,10101385,"02 4223 5613","Princes Hwy, Bombo NSW 2533","Commuter car park | Wheelchair accessible car space | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs","Train, Taxi",6.00-10am,3.00-7pm,True
"Bondi Junction Station",202210,-33.89120228,151.2483843,10101109,"02 9379 4843","Grafton St, Bondi Junction NSW 2022","Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Booragul Station",228410,-32.97142254,151.6046902,10101152,"02 4962 9437","Station St, Booragul NSW 2284","Emergency help point | Information point | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs",Train,6.00-10am,3.00-7pm,True
"Booral Coach Stop",24251,-32.466585,151.95947,10150344,,"The Bucketts Way at Booral Rd, Booral NSW 2425",,,Coach,,,False
"Boppy Mountain Coach Stop",28353,-31.531,146.2831,10150124,,"Barrier Hwy after Booroomugga Rd, Canbelego NSW 2835",,,Coach,,,False
"Bourke Coach Stop",28401,-30.094494,145.935178,10150352,,"Old Railway Station, Anson St, Bourke NSW 2840",,,Coach,,,False
"Bowning Coach Stop",25824,-34.767715,148.814797,10150137,,"Leake St opp Playfair St, Bowning NSW 2582",,,Coach,,,False
"Bowral Station",257610,-34.47812317,150.4166585,10101306,"02 4861 2045","Station St, Bowral NSW 2576","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi, Regional coach",6.00-10am,3.00-7pm,True
